Date,VIX
1989.01,NA
1989.02,NA
1989.03,NA
1989.04,NA
1989.05,NA
1989.06,NA
1989.07,NA
1989.08,NA
1989.09,NA
1989.1,NA
1989.11,NA
1989.12,NA
1990.01,23.35
1990.02,23.26
1990.03,20.06
1990.04,21.40
1990.05,18.10
1990.06,16.82
1990.07,18.39
1990.08,28.18
1990.09,29.11
1990.1,29.63
1990.11,24.89
1990.12,23.36
1991.01,27.43
1991.02,21.60
1991.03,17.74
1991.04,17.37
1991.05,16.93
1991.06,17.14
1991.07,17.29
1991.08,15.68
1991.09,16.96
1991.1,16.36
1991.11,17.77
1991.12,18.35
1992.01,17.68
1992.02,17.48
1992.03,17.52
1992.04,16.56
1992.05,15.08
1992.06,15.20
1992.07,13.60
1992.08,14.42
1992.09,13.70
1992.1,17.64
1992.11,14.42
1992.12,12.19
1993.01,12.41
1993.02,13.72
1993.03,13.61
1993.04,12.84
1993.05,13.61
1993.06,12.52
1993.07,11.50
1993.08,11.93
1993.09,12.93
1993.1,11.88
1993.11,14.08
1993.12,11.36
1994.01,11.29
1994.02,13.64
1994.03,15.22
1994.04,16.47
1994.05,13.90
1994.06,13.41
1994.07,12.48
1994.08,11.89
1994.09,13.23
1994.1,15.25
1994.11,16.38
1994.12,14.18
1995.01,12.27
1995.02,11.47
1995.03,12.17
1995.04,12.44
1995.05,12.27
1995.06,11.90
1995.07,12.51
1995.08,12.80
1995.09,12.06
1995.1,14.36
1995.11,12.47
1995.12,11.75
1996.01,13.47
1996.02,15.03
1996.03,17.76
1996.04,16.58
1996.05,16.15
1996.06,16.40
1996.07,17.98
1996.08,15.76
1996.09,16.58
1996.1,16.38
1996.11,16.00
1996.12,19.26
1997.01,19.47
1997.02,20.14
1997.03,20.17
1997.04,19.66
1997.05,19.92
1997.06,20.19
1997.07,20.53
1997.08,23.08
1997.09,23.81
1997.1,23.87
1997.11,32.21
1997.12,26.28
1998.01,23.87
1998.02,20.00
1998.03,20.16
1998.04,22.03
1998.05,20.87
1998.06,21.66
1998.07,19.93
1998.08,31.59
1998.09,38.20
1998.1,36.61
1998.11,26.22
1998.12,25.48
1999.01,28.04
1999.02,28.82
1999.03,25.31
1999.04,23.48
1999.05,26.20
1999.06,23.63
1999.07,21.05
1999.08,24.32
1999.09,24.54
1999.1,24.02
1999.11,21.82
1999.12,22.16
2000.01,23.20
2000.02,23.60
2000.03,22.72
2000.04,27.16
2000.05,26.37
2000.06,21.54
2000.07,19.89
2000.08,18.09
2000.09,19.69
2000.1,25.20
2000.11,26.38
2000.12,26.53
2001.01,24.92
2001.02,23.41
2001.03,28.50
2001.04,28.13
2001.05,22.94
2001.06,20.94
2001.07,22.32
2001.08,21.86
2001.09,35.07
2001.1,32.72
2001.11,26.63
2001.12,23.72
2002.01,22.25
2002.02,22.88
2002.03,18.99
2002.04,19.90
2002.05,20.09
2002.06,25.27
2002.07,34.05
2002.08,33.74
2002.09,37.65
2002.1,35.24
2002.11,28.18
2002.12,28.21
2003.01,27.42
2003.02,32.22
2003.03,30.63
2003.04,23.99
2003.05,20.24
2003.06,20.36
2003.07,19.16
2003.08,19.27
2003.09,19.53
2003.1,18.02
2003.11,17.40
2003.12,16.83
2004.01,16.10
2004.02,16.00
2004.03,17.69
2004.04,15.70
2004.05,17.71
2004.06,15.34
2004.07,15.50
2004.08,16.68
2004.09,14.09
2004.1,14.97
2004.11,13.58
2004.12,12.46
2005.01,13.44
2005.02,11.71
2005.03,13.13
2005.04,14.46
2005.05,13.97
2005.06,11.87
2005.07,11.05
2005.08,12.95
2005.09,12.63
2005.1,14.94
2005.11,12.15
2005.12,11.26
2006.01,12.04
2006.02,12.47
2006.03,11.69
2006.04,11.85
2006.05,14.45
2006.06,16.92
2006.07,15.33
2006.08,13.35
2006.09,12.18
2006.1,11.31
2006.11,10.82
2006.12,10.96
2007.01,11.04
2007.02,11.16
2007.03,15.16
2007.04,12.93
2007.05,13.30
2007.06,14.95
2007.07,17.27
2007.08,25.03
2007.09,22.20
2007.1,19.12
2007.11,25.58
2007.12,21.65
2008.01,25.82
2008.02,25.46
2008.03,27.10
2008.04,21.56
2008.05,18.30
2008.06,22.11
2008.07,24.32
2008.08,20.70
2008.09,30.30
2008.1,61.18
2008.11,62.67
2008.12,52.36
2009.01,44.68
2009.02,45.57
2009.03,44.80
2009.04,38.06
2009.05,31.98
2009.06,29.14
2009.07,26.16
2009.08,25.34
2009.09,24.93
2009.1,24.25
2009.11,23.79
2009.12,21.24
2010.01,20.64
2010.02,22.54
2010.03,17.77
2010.04,17.42
2010.05,31.93
2010.06,29.92
2010.07,25.57
2010.08,24.75
2010.09,22.52
2010.1,20.37
2010.11,20.10
2010.12,17.57
2011.01,17.32
2011.02,17.43
2011.03,20.72
2011.04,16.24
2011.05,16.91
2011.06,19.15
2011.07,19.23
2011.08,35.03
2011.09,36.53
2011.1,32.83
2011.11,31.94
2011.12,25.05
2012.01,20.23
2012.02,18.42
2012.03,16.17
2012.04,17.82
2012.05,21.00
2012.06,21.13
2012.07,17.56
2012.08,15.69
2012.09,15.28
2012.1,16.28
2012.11,16.70
2012.12,17.34
2013.01,13.51
2013.02,14.07
2013.03,13.03
2013.04,13.97
2013.05,13.49
2013.06,17.27
2013.07,13.97
2013.08,14.21
2013.09,14.69
2013.1,15.41
2013.11,12.92
2013.12,14.19
2014.01,14.24
2014.02,15.47
2014.03,14.84
2014.04,14.20
2014.05,12.48
2014.06,11.54
2014.07,12.30
2014.08,13.49
2014.09,13.47
2014.1,18.06
2014.11,13.41
2014.12,16.29
2015.01,19.12
2015.02,15.90
2015.03,14.81
2015.04,13.49
2015.05,13.34
2015.06,14.34
2015.07,14.35
2015.08,19.43
2015.09,24.38
2015.1,16.79
2015.11,16.21
2015.12,18.03
2016.01,23.72
2016.02,22.52
2016.03,15.85
2016.04,14.30
2016.05,14.85
2016.06,17.77
2016.07,13.16
2016.08,12.40
2016.09,14.22
2016.1,14.59
2016.11,15.24
2016.12,12.47
2017.01,11.61
2017.02,11.53
2017.03,11.90
2017.04,13.14
2017.05,10.86
2017.06,10.51
2017.07,10.26
2017.08,11.98
2017.09,10.44
2017.1,10.13
2017.11,10.54
2017.12,10.26
2018.01,11.06
2018.02,22.46
2018.03,19.02
2018.04,18.27
2018.05,14.12
2018.06,13.68
2018.07,13.15
2018.08,12.55
2018.09,12.91
2018.1,19.35
2018.11,19.39
2018.12,24.95
2019.01,19.57
2019.02,15.23
2019.03,14.49
2019.04,12.95
2019.05,16.72
2019.06,15.84
2019.07,13.31
2019.08,18.98
2019.09,15.56
2019.1,15.47
2019.11,12.52
2019.12,13.76
2020.01,13.94
2020.02,19.63
2020.03,57.74
2020.04,41.45
2020.05,30.90
2020.06,31.12
2020.07,26.84
2020.08,22.89
2020.09,27.65
2020.1,29.44
2020.11,25.00
2020.12,22.37
2021.01,24.91
2021.02,23.14
2021.03,21.84
2021.04,17.42
2021.05,19.76
2021.06,16.96
2021.07,17.60
2021.08,17.47
2021.09,19.8247619
2021.1,17.87142857
2021.11,18.50047619
2021.12,21.35454545
2022.01,23.181
2022.02,25.74842105
2022.03,26.96869565
2022.04,24.3735
2022.05,29.31363636
2022.06,28.23318182
2022.07,24.9952381
2022.08,22.16956522
2022.09,27.34181818
2022.1,30.00571429
2022.11,23.29909091
2022.12,21.78
2023.01,20.17
2023.02,20.12
2023.03,21.64
2023.04,17.82
2023.05,17.64
2023.06,14.00
2023.07,13.93
2023.08,15.85
2023.09,15.17
2023.1,18.89
2023.11,14.02
2023.12,12.72
2024.01,13.39
